iter	Passed	Remaining
912	6482	617
913	6488	610
914	6494	603
915	6501	596
916	6508	589
917	6514	581
918	6521	574
919	6528	567
920	6534	560
921	6541	553
922	6547	546
923	6554	539
924	6561	531
925	6568	524
926	6574	517
927	6581	510
928	6588	503
929	6595	496
930	6602	489
931	6608	482
932	6614	475
933	6621	467
934	6628	460
935	6635	453
936	6642	446
937	6648	439
938	6654	432
939	6661	425
940	6668	418
941	6675	410
942	6681	403
943	6688	396
944	6694	389
945	6700	382
946	6707	375
947	6713	368
948	6720	361
949	6728	354
950	6733	346
951	6740	339
952	6747	332
953	6753	325
954	6759	318
955	6766	311
956	6773	304
957	6780	297
958	6786	290
959	6792	283
960	6798	275
961	6805	268
962	6811	261
963	6818	254
964	6825	247
965	6831	240
966	6838	233
967	6844	226
968	6850	219
969	6857	212
970	6864	205
971	6872	197
972	6878	190
973	6885	183
974	6892	176
975	6898	169
976	6905	162
977	6912	155
978	6919	148
979	6924	141
980	6931	134
981	6937	127
982	6944	120
983	6951	113
984	6957	105
985	6964	98
986	6971	91
987	6978	84
988	6985	77
989	6993	70
990	7002	63
991	7011	56
992	7021	49
993	7031	42
994	7041	35
995	7051	28
996	7060	21
997	7068	14
998	7077	7
999	7085	0
